latitude,longitude,acq_date,acq_time,satellite,confidence,frp,bright_ti4,brightness,scan,track,instrument,version,bright_t31,daynight,source_file,type,distance_km_from_kenneth_start,acq_time_padded,acq_datetime_utc
34.1494,-118.7222,2025-01-09,930,N20,n,0.82,304.93,304.93,0.43,0.38,VIIRS,2,283.2,N,fire_archive_J1V-C2_760984.csv,0.0,6.244116626455831,0930,2025-01-09T09:30:00Z
34.14923,-118.7212,2025-01-10,911,N20,n,0.49,296.97,296.97,0.48,0.48,VIIRS,2,283.64,N,fire_archive_J1V-C2_760984.csv,0.0,6.18571966873565,0911,2025-01-10T09:11:00Z
34.17554,-118.67773,2025-01-10,911,N20,n,0.41,299.01,299.01,0.48,0.48,VIIRS,2,282.96,N,fire_archive_J1V-C2_760984.csv,0.0,1.2925847796742451,0911,2025-01-10T09:11:00Z
34.17997,-118.67706,2025-01-10,911,N20,n,0.41,296.77,296.77,0.48,0.48,VIIRS,2,283.33,N,fire_archive_J1V-C2_760984.csv,0.0,0.877789233887223,0911,2025-01-10T09:11:00Z
34.18045,-118.6824,2025-01-10,911,N20,n,0.41,297.44,297.44,0.48,0.48,VIIRS,2,283.82,N,fire_archive_J1V-C2_760984.csv,0.0,1.2644047452256233,0911,2025-01-10T09:11:00Z
34.14662,-118.71876,2025-01-10,1004,N21,n,0.68,296.11,296.11,0.52,0.42,VIIRS,2.0NRT,284.0,N,fire_nrt_J2V-C2_760985.csv,,6.212984635420623,1004,2025-01-10T10:04:00Z
34.17747,-118.67509,2025-01-10,1004,N21,n,0.65,296.53,296.53,0.53,0.42,VIIRS,2.0NRT,283.39,N,fire_nrt_J2V-C2_760985.csv,,0.9825842037818693,1004,2025-01-10T10:04:00Z
34.17857,-118.68063,2025-01-10,1004,N21,n,0.65,295.44,295.44,0.53,0.42,VIIRS,2.0NRT,283.75,N,fire_nrt_J2V-C2_760985.csv,,1.231083240624764,1004,2025-01-10T10:04:00Z
34.18058,-118.68724,2025-01-10,1028,SNPP,n,0.64,296.09,296.09,0.38,0.59,SNPP,2,283.71,N,fire_archive_SV-C2_760986.csv,0.0,1.6747801857430995,1028,2025-01-10T10:28:00Z
34.14785,-118.71973,2025-01-11,1010,SNPP,n,0.49,298.01,298.01,0.42,0.45,SNPP,2,277.01,N,fire_archive_SV-C2_760986.csv,0.0,6.185171420347831,1010,2025-01-11T10:10:00Z
34.19991,-118.58549,2025-01-11,1032,N20,n,0.92,300.34,300.34,0.47,0.64,VIIRS,2,277.92,N,fire_archive_J1V-C2_760984.csv,0.0,7.935025538314745,1032,2025-01-11T10:32:00Z
34.20024,-118.58862,2025-01-11,1032,N20,n,1.42,313.11,313.11,0.47,0.64,VIIRS,2,277.68,N,fire_archive_J1V-C2_760984.csv,0.0,7.661469781138161,1032,2025-01-11T10:32:00Z
34.1473,-118.72343,2025-01-12,926,N21,n,0.71,302.0,302.0,0.5,0.41,VIIRS,2.0NRT,282.26,N,fire_nrt_J2V-C2_760985.csv,,6.48110716512273,0926,2025-01-12T09:26:00Z
34.14943,-118.7222,2025-01-13,932,SNPP,n,0.61,295.06,295.06,0.43,0.38,SNPP,2,274.84,N,fire_archive_SV-C2_760986.csv,0.0,6.241989924619685,0932,2025-01-13T09:32:00Z
34.14764,-118.72235,2025-01-13,955,N20,n,0.85,298.7,298.7,0.45,0.39,VIIRS,2,273.59,N,fire_archive_J1V-C2_760984.csv,0.0,6.38112603429499,0955,2025-01-13T09:55:00Z
